id_station_itinerance,id_pdc_itinerance,puissance_nominale
FRBMPP29049P,FRBMPE7419,22.0
FRLDLPLFR4018EVCP,FRLDLE00005777,120.0
FRIOYP13530799,FRIOYE454251,43.0
FRPD1PSYUMTR,FRPD1ESYUMTRKPS200013,50.0
FRVIAP103109,FRVIAE10001169631,300.0
FRPD1PIBSISR,FRPD1EIBSISRKPC200016,100.0
FRPD1PCORVDV,FRPD1ECORVDVKP0014,100.0
FRPD1PCORCOU,FRPD1ECORCOUKPC200012,100.0
FRVIAP103109,FRVIAE10001169551,300.0
FRPD1PMATMAU,FRPD1EMATMAUKP0013,160.0
FRR3MP1072746,FRR3ME5410969,180.0
FRVIAP103109,FRVIAE10001169571,62.5
FRS50P5021850063312147292,FRS50E502180072,120.0
FRWA2P820876,FRWA2E4854028,7.4
FRWGOPS8319M5GX8SAR3,FRWGOEAPHWL,22.0
FRATLPFR00871,FRATLE104591,22.0
FRETIP44143A,FRETIE44143A13,180.0
FRBPEP3EA016,FRBPEE3EA0164355,32.0
FRVIAP141016,FRVIAE20141016012,50.0
FRVIAP141016,FRVIAE20141016013,50.0
FRPD1PLCLACR,FRPD1ELCLACRKPC200015,100.0
FRVIAP141016,FRVIAE20141016011,43.0
FRETIP44143A,FRETIE44143A14,180.0
FRV75P900402,FRV75E9004022,4.0
FRELCP12954424,FRELCEQ98E,200.0
FRPD1PACTPLR,FRPD1EACTPLRUFC200012,22.0
FRPD1PSTXLGV,FRPD1ESTXLGVNOV2400011,160.0
FRPD1PGFECON,FRPD1EGFECONBB200011,200.0
FRPD1PKFCASL,FRPD1EKFCASLKPS200011,160.0
FRLDLPLFR4018EVCP,FRLDLE00005778,120.0
FRBMPP526601P50029885056340,FRBMPE7644,240.0
FRPD1PSYURLB,FRPD1ESYURLBKPS50012,50.0
FRSE1PSE16SABA,FRSE1ESE16SABA2,22.0
FRALLPGO800429,FRALLEGO8004292,200.0
FRPD1PCORVSM,FRPD1ECORVSMALFD0011,22.0
FRZUNP5609650024528147024,FRZUNEFR5601ER04,400.0
FRIOYP13530799,FRIOYE454253,50.0
FRR3MP1071073,FRR3ME5406045,22.0
FRVIAP161005,FRVIAE20161005071,50.0
FRIENP0116091,FRIENE01160911,320.0
FRR3MP1180111,FRR3ME5805110,180.0
FRLDLPLFR3362EVCP,FRLDLE00004585,120.0
FRETIP44143A,FRETIE44143A15,22.0
FRWGOPGG1ZYEN2KA03MH,FRWGOEEES32937,22.0
FRWA2P531988,FRWA2E3756615,22.0
FRALDPFR00916,FRALDE100712,300.0
FRIOYP13530822,FRIOYE440206,350.0
FRESEPS42218BF,FRESEE42218BF11,22.0
FRVIAP141168,FRVIAE20141168012,22.0
FRESEPS42207AA,FRESEE42207AA12,22.0
FRVIAP103109,FRVIAE10001169612,22.0
FRETIP44143A,FRETIE44143A16,22.0
FRESEPS42302AA,FRESEE42302AA11,22.0
FRVIAP103109,FRVIAE10001169642,22.0
FRESEPS42302AB,FRESEE42302AB12,22.0
FRVIAP103109,FRVIAE10001169643,300.0
